Physician_ID,Cnt_Fraud_Engagement,Cnt_Fraud_Engagement_Rate
PHY422476,91,0.03
PHY355122,91,0.03
PHY405126,91,0.03
PHY315703,91,0.03
PHY422048,91,0.03
PHY338093,91,0.03
PHY316803,90,0.03
PHY359227,90,0.03
PHY364909,90,0.03
PHY416336,90,0.03
PHY373630,90,0.03
PHY363798,90,0.03
PHY393605,90,0.03
PHY431136,90,0.03
PHY337089,90,0.03
PHY347234,90,0.03
PHY314248,90,0.03
PHY403123,90,0.03
PHY354844,90,0.03
PHY363740,89,0.03
PHY428333,89,0.03
PHY322019,89,0.03
PHY423223,89,0.03
PHY358010,89,0.03
PHY369130,89,0.03
PHY397910,89,0.03
PHY429947,89,0.03
PHY419966,89,0.03
PHY316798,89,0.03
PHY401053,89,0.03
PHY363675,89,0.03
PHY405497,88,0.03
PHY352133,88,0.03
PHY327616,88,0.03
PHY397802,88,0.03
PHY349566,88,0.03
PHY413817,88,0.03
PHY321493,88,0.03
PHY417310,88,0.03
PHY425769,88,0.03
PHY329809,88,0.03
PHY411076,88,0.03
PHY369149,88,0.03
PHY333046,88,0.03
PHY317557,88,0.03
PHY353295,88,0.03
PHY325779,88,0.03
PHY421051,88,0.03
PHY430604,88,0.03
PHY356293,88,0.03
PHY377085,88,0.03
PHY395188,87,0.03
PHY409579,87,0.03
PHY394243,87,0.03
PHY390737,87,0.03
PHY312173,87,0.03
PHY351112,87,0.03
PHY400435,87,0.03
PHY367367,87,0.03
PHY378697,87,0.03
PHY335577,87,0.03
PHY432475,87,0.03
PHY357448,87,0.03
PHY367707,87,0.03
PHY405332,87,0.03
PHY363144,87,0.03
PHY403791,87,0.03
PHY384776,87,0.03
PHY349232,87,0.03
PHY422813,87,0.03
PHY322866,87,0.03
PHY338972,87,0.03
PHY367953,86,0.03
PHY389122,86,0.03
PHY346648,86,0.03
PHY422853,86,0.03
PHY338301,86,0.03
PHY315348,86,0.03
PHY403131,86,0.03
PHY415212,86,0.03
PHY429066,86,0.03
PHY390333,86,0.03
PHY377300,86,0.03
PHY350166,86,0.03
PHY324109,86,0.03
PHY325240,86,0.03
PHY329382,85,0.03
PHY379687,85,0.03
PHY346203,85,0.03
PHY371470,85,0.03
PHY333239,85,0.03
PHY421539,85,0.03
PHY333238,85,0.03
PHY397407,85,0.03
PHY332068,85,0.03
PHY410857,85,0.03
PHY326161,85,0.03
PHY334332,85,0.03
PHY333691,85,0.03
PHY394564,85,0.03
PHY409569,85,0.03
PHY421246,85,0.03
PHY426224,84,0.03
PHY391145,84,0.03
PHY332326,84,0.03
PHY339202,84,0.03
PHY428399,84,0.03
PHY346784,84,0.03
PHY313756,84,0.03
PHY318119,84,0.03
PHY410062,84,0.03
PHY409580,84,0.03
PHY400144,83,0.03
PHY403155,83,0.03
PHY402776,83,0.03
PHY413929,83,0.03
PHY340715,83,0.03
PHY360042,83,0.03
PHY369675,83,0.03
PHY421141,83,0.03
PHY389594,83,0.03
PHY379424,83,0.03
PHY429223,83,0.03
PHY409657,83,0.03
PHY328922,83,0.03
PHY386156,82,0.02
PHY383588,82,0.02
PHY426404,82,0.02
PHY384638,82,0.02
PHY314425,82,0.02
PHY317142,82,0.02
PHY373137,82,0.02
PHY340102,82,0.02
PHY429875,82,0.02
PHY317572,82,0.02
PHY370629,82,0.02
PHY413720,82,0.02
PHY418277,82,0.02
PHY329121,82,0.02
PHY353048,82,0.02
PHY409531,82,0.02
PHY396976,82,0.02
PHY351657,81,0.02
PHY389504,81,0.02
PHY314528,81,0.02
PHY380458,81,0.02
PHY393942,81,0.02
PHY412830,81,0.02
PHY358561,81,0.02
PHY363069,81,0.02
PHY362178,81,0.02
PHY429749,81,0.02
PHY404070,80,0.02
PHY414765,80,0.02
PHY347823,80,0.02
PHY387563,80,0.02
PHY408249,80,0.02
PHY311067,80,0.02
PHY325548,80,0.02
PHY405285,80,0.02
PHY425514,80,0.02
PHY433653,80,0.02
PHY327006,80,0.02
PHY400362,80,0.02
PHY420242,80,0.02
